StatusEffectList|6f
StatusEffectList2|184
StatusEffectList3|330
BossStatusEffectList|2ad
StatusEffectListForay3|c7
Ability1|2fa
Ability8|3be
Ability16|228
Ability24|26f
Ability32|210
ActorCast|3e0
EffectResult|301
EffectResultBasic|94
ActorControl|114
ActorControlSelf|14e
ActorControlTarget|186
UpdateHpMpTp|c8
PlayerSpawn|1a4
NpcSpawn|304
NpcSpawn2|379
ActorMove|314
ActorSetPos|1f9
ActorGauge|355
PresetWaymark|3c3
Waymark|87
SystemLogMessage|3cc
